100年12月臺東縣統計區15歲以上人口性別與教育程度統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=7B5BF7DC2EE91802&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口性別與教育程度統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口婚姻狀況統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=00CC8E467A1194B0&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口婚姻狀況統計_二級發布區.csv
100年12月臺東縣統計區15歲以上人口教育程度統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=F513185E9C28D29C&n=4A2DB40EB35F337E, 100年12月臺東縣統計區15歲以上人口教育程度統計_二級發布區.csv
100年12月臺東縣統計區人口指標_一級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=3C5207E631F457B5&n=4A2DB40EB35F337E, 100年12月臺東縣統計區人口指標_一級發布區.csv
100年12月臺東縣統計區人口指標_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=A2483689787CA81F&n=4A2DB40EB35F337E, 100年12月臺東縣統計區人口指標_二級發布區.csv
100年12月臺東縣統計區人口指標_最小統計區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9129ECBFC31F42E2&n=4A2DB40EB35F337E, 100年12月臺東縣統計區人口指標_最小統計區.csv
100年12月臺東縣統計區人口統計_一級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=E611B38FE00C641B&n=4A2DB40EB35F337E, 100年12月臺東縣統計區人口統計_一級發布區.csv
100年12月臺東縣統計區人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=8BC495F27125B834&n=4A2DB40EB35F337E, 100年12月臺東縣統計區人口統計_二級發布區.csv
100年12月臺東縣統計區人口統計_最小統計區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=9072F4A9DD1E5F5A&n=4A2DB40EB35F337E, 100年12月臺東縣統計區人口統計_最小統計區.csv
100年12月臺東縣統計區十歲年齡組人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=C60222ACEB170E83&n=4A2DB40EB35F337E, 100年12月臺東縣統計區十歲年齡組人口統計_二級發布區.csv
100年12月臺東縣統計區十歲年齡組性別人口統計_二級發布區.csv, http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=46FC5BBFDC3C7585&n=4A2DB40EB35F337E, 100年12月臺東縣統計區十歲年齡組性別人口統計_二級發布區.csv
